id,fecha,user_id,audio,duracion,time_inicio,time_fin,nota_0,texto0,keystroke0,nota_1,nota_2,nota_3,nota_4,nota_5,nota_6,nota_7,nota_8,nota_9,nota_10,nota_11,nota_12,nota_13,nota_14,nota_15,nota_16,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,boton1,texto1,keystroke1,boton2,texto2,keystroke2,acciones,selection,alternativas,etapa,boton_out1,boton_out2,preg1_ico,preg2_ico,preg3_ico,preg4_ico,preg5_ico,preg6_ico,preg7_ico,preg8_ico,preg9_ico,preg10_ico,preg11_ico,preg12_ico,preg13_ico,preg14_ico,preg15_ico,preg16_ico,preg17_ico,preg18_ico
1,4/17/20 10:45,14,1,0:10,11:07:59,11:08:52,1,,0,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,11:08:02,11:08:06,11:08:07,11:08:08,11:08:10,11:08:11,11:08:13,11:08:14,11:08:21,11:08:22,11:08:25,11:08:26,,11:08:29,,11:08:30,11:08:36,,,no,,0,no,,0,1 (11:08:03) | 2 (11:08:04),0,2,RGE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4/17/20 10:46,14,94,,11:08:57,11:09:24,4,,0,4,4,4,4,4,4,4,4,4,4,4,,4,,4,4,11:08:59,11:09:01,11:09:02,11:09:03,11:09:04,11:09:06,11:09:07,11:09:08,11:09:09,11:09:10,11:09:11,11:09:12,,11:09:13,,11:09:14,11:09:16,,,no,,0,no,,0,,50,2,RGE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4/17/20 10:46,14,201,,11:09:24,11:09:46,4,,0,4,4,4,4,4,4,4,4,4,4,4,,4,,4,4,11:09:26,11:09:28,11:09:28,11:09:30,11:09:30,11:09:31,11:09:32,11:09:33,11:09:34,11:09:35,11:09:36,11:09:37,,11:09:38,,11:09:39,11:09:40,,,no,,0,no,,0,,0,2,RGE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4/17/20 10:49,14,1,0:26,11:10:05,11:12:22,5,Da la info pero no es energico,31,7,3,7,6,4,2.5,6,5,2,2,2.2,,5.5,,5,2,11:10:59,11:11:11,11:11:15,11:11:20,11:11:25,11:11:31,11:11:35,11:11:39,11:11:42,11:11:46,11:11:50,11:11:51,,11:11:56,,11:12:01,11:12:05,,,no,,0,no,,0,1 (11:10:40),39,1,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4/17/20 10:51,14,2,0:28,11:12:22,11:14:22,7,,0,7,7,1,1,1,7,7,7,1,1,1,,1,,7,7,11:13:39,11:13:19,11:13:20,11:13:23,11:13:25,11:13:28,11:13:32,11:13:33,11:13:35,11:13:43,11:13:45,11:13:46,,11:14:04,,11:13:49,11:13:52,,,si,,0,no,,0,1 (11:12:25),50,1,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4/17/20 10:52,14,3,0:08,11:14:23,11:15:27,7,,0,7,7,1,1,1,7,7,7,1,1,1,,7,,7,7,11:14:34,11:14:36,11:14:37,11:14:39,11:14:40,11:14:42,11:14:43,11:14:45,11:14:46,11:14:47,11:14:48,11:14:50,,11:14:51,,11:14:53,11:14:54,,,si,,0,no,,0,1 (11:14:33),50,1,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4/17/20 10:53,14,4,0:27,11:15:27,11:16:17,7,,0,7,7,1,1,1,7,7,7,1,1,1,,7,,7,7,11:15:38,11:15:40,11:15:41,11:16:03,11:15:44,11:15:45,11:16:05,11:15:48,11:15:49,11:16:08,11:15:53,11:15:54,,11:16:10,,11:15:57,11:15:58,,,si,,0,no,,0,1 (11:15:32),50,1,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4/19/20 0:08,11,1,0:10,0:27:09,0:31:44,5.1,Me sono amorosa,16,2.5,1,1,1,5,6.2,5.5,4.4,1,4,5.7,,1.5,,5.3,4,0:27:18,0:27:37,0:28:19,0:28:34,0:28:58,0:29:05,0:29:15,0:29:35,0:29:50,0:30:10,0:30:28,0:30:36,,0:30:47,,0:30:57,0:31:13,,,no,,0,no,,0,1 (00:27:12),12,1,RGE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4/19/20 0:14,11,94,0:48,0:31:52,0:36:55,5,"Me parecio amorosa tambien, ok su voz y energia.",63,7,1.5,6.3,7,5.3,6.2,6.5,4.9,1,4,6,,5.2,,3.1,5.4,0:33:02,0:33:23,0:33:56,0:34:18,0:34:26,0:35:20,0:35:37,0:35:52,0:35:50,0:35:56,0:36:00,0:36:12,,0:36:07,,0:36:16,0:36:25,,,no,,0,no,,0,1 (00:31:59) | 1 (00:33:48) | 2 (00:33:53),0,1,RGE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4/19/20 0:23,11,201,1:33,0:36:55,0:46:46,6,"Super simpatico. Muchos cachai, pero super bien.",52,7,0,7,4.9,7,5.3,5.6,7,4,5.1,6.5,,2.1,,2.3,5.3,0:38:32,0:38:48,,0:42:46,0:42:54,0:42:56,0:42:59,0:43:01,0:43:04,0:43:10,0:43:12,0:43:15,,0:43:21,,0:43:35,0:43:41,,,si,Le advino que era venezolana,41,no,,0,1 (00:36:56) | 1 (00:38:51) | 2 (00:38:56),29,1,RGE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4/19/20 0:55,11,1,6:59,0:51:04,1:18:33,0,NO es de captacion!!!!! OMG,37,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,0,1 (00:51:05) | 2 (00:51:12) | 1 (00:54:35) | 2 (00:54:59) | 1 (00:55:15) | 2 (00:55:57) | 1 (00:57:28) | 2 (00:57:41) | 1 (01:00:31) | 2 (01:00:33) | 1 (01:18:01),0,0,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4/19/20 1:38,11,2,1:29,1:18:33,2:00:57,4.3,Muy insistente. Nisiquiera le explico que era el hogar!,64,7,4,2.5,4.9,6,5,3.2,3.1,7,3.3,4.7,,5.4,,6.8,5.3,1:19:13,1:20:31,1:23:13,1:25:40,1:27:25,1:39:04,1:39:07,1:40:41,1:40:39,1:40:37,1:43:58,1:43:56,,1:44:04,,1:44:06,1:44:10,,,no,,0,no,,0,1 (01:18:42) | 1 (01:21:47) | 2 (01:21:56),0,1,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4/19/20 1:52,11,1,0:24,2:14:21,2:15:33,7,menor de edad y cadete. Pero me gusto mucho.,64,7,2.7,6,5.8,6,5.9,5.9,5.8,6,5.7,6,,5.9,,6.1,5.9,2:15:05,2:15:08,2:15:10,2:15:11,2:15:13,2:15:13,2:15:14,2:15:15,2:15:16,2:15:17,2:15:18,2:15:19,,2:15:21,,2:15:22,2:15:23,,,no,,0,no,,0,1 (02:14:29),49,4,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4/21/20 0:55,11,464,0:13,1:12:19,1:18:40,0,Que el gobierno se encargue! hasta ahi llego.,82,6.9,6.8,6.8,7,1,1,1,1,1,1,1,,1,,1,1,,1:17:55,1:17:57,1:17:58,1:18:01,1:18:03,1:18:04,1:18:06,1:18:07,1:18:09,1:18:12,1:18:13,,1:18:17,,1:18:18,1:18:19,,,no,no corregida,24,no,,0,1 (01:12:22),39,1,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,4/21/20 0:57,11,460,0:24,1:18:41,1:19:51,0,"ella ya va a dar desayunos; y que tal ser socio? nno, no me gustaria.",101,1.5,1.5,1.6,1.5,1.6,1.6,1.6,6.3,1.8,1.8,1.7,,6,,1.7,1.8,,1:19:16,1:19:17,1:19:18,1:19:23,1:19:24,1:19:26,1:19:27,1:19:28,1:19:29,1:19:31,1:19:32,,1:19:33,,1:19:35,1:19:37,,,no, no corregida,18,si,,0,1 (01:18:43),46,4,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4/21/20 0:58,11,2044,0:21,1:19:51,1:21:02,5.7,Soy socio hace 5 anos? quiere reajustar?,43,1.6,1.8,1.7,1.8,1.8,1.8,1.8,1.7,1.1,4,4,,4,,4,4,1:20:23,1:20:25,1:20:26,1:20:27,1:20:28,1:20:29,1:20:30,1:20:31,1:20:32,1:20:33,1:20:35,1:20:36,,1:20:36,,1:20:37,1:20:38,,,si,Ojala que le hagan un buen reajuste,46,no,,0,1 (01:20:02),63,4,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,4/21/20 0:59,11,486,0:18,1:21:02,1:22:21,0,ah! situacion muy complicada (me parece que esta repetido),68,6.6,6.4,6.4,6.2,6.2,6.3,6,2.1,2.1,1.9,2,,1.9,,1.8,2,,1:21:49,1:21:50,1:21:50,1:21:52,1:21:53,1:21:54,1:22:04,1:22:05,1:22:05,1:22:06,1:22:08,,1:22:09,,1:22:10,1:22:11,,,no,,0,no,,0,1 (01:21:07) | 1 (01:21:56),62,4,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4/21/20 1:00,11,368,0:24,1:22:21,1:23:12,0,Soy cadete y estoy ocupado todos los dias. Es menor de edad.,79,2.5,2.6,2.5,2.6,2.5,2.6,2.6,2.7,2.6,2.5,2.5,,2.6,,2.5,2.8,,1:22:50,1:22:51,1:22:52,1:22:53,1:22:54,1:22:55,1:22:56,1:22:57,1:22:58,1:22:59,1:23:00,,1:23:02,,1:23:02,1:23:04,,,,Amigo,6,no,,0,1 (01:22:23),63,0,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4/21/20 8:34,13,1,0:10,8:51:03,8:56:53,2,"Empieza con animo, pero un segundo despues lo pierde. Parece no gustarle su trabajo",89,1,1,1,2,3,2,6,4,1,1.5,4,,6,,5,1,8:51:23,8:52:05,8:52:12,8:52:17,8:52:23,8:52:27,8:52:32,8:52:40,8:52:45,8:52:51,8:52:57,8:53:00,,8:53:12,,8:53:19,8:53:27,,,no,"No, no habia ningun cumplido en la conversacion",83,no,El captador no genero confianza con la primera frase,61,1 (08:51:08),8,1,RGE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4/21/20 8:37,13,94,0:48,8:57:02,9:00:42,7,Logro que el transeunte le pusiera atencion,44,7,1,7,7,5,7,7,6,5,6,5,,4,,3,2,8:57:57,8:58:18,8:59:04,8:59:09,8:59:15,8:59:20,8:59:23,8:59:24,8:59:28,8:59:34,8:59:38,8:59:41,,8:59:46,,8:59:54,9:00:01,,,no,Solo le dio la informacion del hogar,39,no,La conversacion no fue personal,32,1 (08:57:04),30,1,RGE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4/21/20 8:41,13,201,1:33,9:00:43,9:04:02,7,Interactua con el transeunte,31,7,2,7,4,7,5,6,6,6,4,5,,3,,7,2,9:01:32,9:01:49,9:01:53,9:02:04,9:02:15,9:02:18,9:02:23,9:02:27,9:02:34,9:02:37,9:02:40,9:02:46,,9:02:51,,9:02:55,9:03:01,,,no,A pesar de que la conversacion tenia temas personales no hubo piropo,77,no,Solo parecian tener una conversacion tranquila,47,1 (09:00:44),25,1,RGE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4/21/20 8:45,13,83-6,0:03,9:05:48,9:08:17,3,Porque no logro que el transeunte le respondiera algo,54,1,1,1,1,1,6,6,6,5,7,5,,1,,5,1,9:06:05,9:06:23,9:06:26,9:06:29,9:06:31,9:06:35,9:06:40,9:06:44,9:06:49,9:06:54,9:07:00,9:07:05,,9:07:08,,9:07:12,9:07:14,,,no,"No alcanzo a transformarse en una conversacion, n hubo interaccion",77,no,El voluntario solo logro decir una frase muy corta,51,1 (09:05:50),10,1,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4/21/20 8:50,13,127-2,6:05,9:08:17,9:13:23,7,Logra dar informacion necesaria de forma amable y parece que le interesa la causa,86,7,5,6,1,5,7,6,6,7,5,4,,5,,6,2.1,9:08:57,9:09:35,9:09:45,9:09:56,9:09:58,9:10:03,9:10:09,9:10:12,9:10:15,9:10:20,9:10:24,9:10:28,,9:10:42,,9:10:49,9:10:52,,,no,no le dijo ningun piropo,25,no,No se identifico con el cliente,32,1 (09:08:19),19,1,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,4/21/20 8:53,13,201,1:33,9:13:23,9:16:22,6,Logra dar informacion del hogar a la persona y mantenerla interesada,73,7,3,5,6,7,7,6,6,3,4,5,,5,,6,3,9:13:36,9:14:38,9:14:43,9:14:47,9:14:51,9:14:54,9:14:57,9:15:05,9:15:09,9:15:13,9:15:16,9:15:21,,9:15:28,,9:15:33,9:15:40,,,si,Gente de buen corazon,22,no,No dice nad con respecto a esto,32,1 (09:13:26),30,2,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,4/21/20 8:56,13,1667,0:27,9:16:22,9:19:24,6,Logra en poco tiempo que la persona la escuche y preguntarle si quiere donar,85,6,3,4,7,4,6,3,4,7,2.9,2.9,,4,,6,2,9:17:08,9:17:32,9:17:36,9:17:43,9:17:45,9:17:49,9:17:54,9:17:57,9:18:00,9:18:01,9:18:07,9:18:11,,9:18:16,,9:18:20,9:18:26,,,si,"Se dirigio a ella como vecina, vecinita",56,no,Pero hizo la conversacion mas cercana llamandola vecina y vecinita,77,1 (09:16:30),30,1,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4/23/20 7:50,14,847,1:23,8:12:10,8:13:20,7,,0,7,7,1,1,1,7,7,7,1,1,1,,7,,7,7,8:12:21,8:12:24,8:12:25,8:12:27,8:12:29,8:12:31,8:12:32,8:12:34,8:12:37,8:12:38,8:12:40,8:12:42,,8:12:44,,8:12:46,8:12:48,,,si,,0,no,,0,1 (08:12:14),50,1,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,4/23/20 7:52,14,125-2,1:42,8:13:21,8:15:29,7,,0,7,7,1,1,1,7,7,7,1,1,1,,7,,7,7,8:13:25,8:13:28,8:13:30,8:13:50,8:13:48,8:13:51,8:13:54,8:13:55,8:13:57,8:14:01,8:14:03,8:14:08,,8:14:11,,8:14:13,8:14:14,,,si,,0,no,,0,1 (08:13:26),50,1,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,4/23/20 7:55,14,1682,0:08,8:15:29,8:17:52,7,,0,7,7,1,1,1,7,7,7,1,1,1,,7,,7,7,8:15:34,8:15:39,8:15:41,8:15:44,8:15:47,8:15:48,8:15:51,8:15:52,8:15:54,8:15:56,8:15:58,8:16:00,,8:17:40,,8:17:44,8:17:45,,,si,,0,no,,0,1 (08:15:33),0,1,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,4/23/20 7:55,14,854,0:09,8:17:52,8:18:40,7,,0,7,7,1,1,1,7,7,7,1,1,1,,7,,7,7,8:17:57,8:18:01,8:18:02,8:18:15,8:18:14,8:18:17,8:18:19,8:18:20,8:18:22,8:18:24,8:18:26,8:18:27,,8:18:29,,8:18:30,8:18:31,,,si,,0,no,,0,1 (08:17:55),50,1,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,4/23/20 12:49,8,1,0:10,13:00:16,13:12:04,6,"Le puse esta nota ya que el voluntario tuvo una buena disposicion, un buen trato pero le falto ser mas energetica al momento de preguntar.",189,2,4,4.5,6,4,2,7,4,1,1,2,,5,,2,2,13:00:52,13:03:12,13:04:27,13:05:14,13:05:33,13:07:32,13:05:59,13:06:08,13:07:20,13:06:40,13:06:46,13:06:52,,13:07:46,,13:08:23,13:08:21,,,no,No ya que este solamente le dijo informacion sobre de adonde venia y el por que.,144,no,"No ninguna, no se refirio a temas personales,solo a temas de la causa.",172,1 (13:00:25) | 1 (13:02:57) | 1 (13:04:51) | 1 (13:05:19) | 1 (13:07:04),10,1,RGE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,4/23/20 12:57,8,94,0:48,13:12:14,13:20:42,7,"Capto la atencion del transeunte, le entrego toda la informacion clave, buen trato y con buen animo.",171,7,7,7,7,7,7,7,7,1,6,6,,2,,1,4,13:13:47,13:15:01,13:15:04,13:15:06,13:15:09,13:15:10,13:15:12,13:15:13,13:15:14,13:15:16,13:15:21,13:15:26,,13:15:37,,13:15:43,,,,no,"solo le entrego informacion para saber si la transeunte queria sumarse a esta campa̱a, no le dijo  ningun piropo alguno ",178,si,Le nombro si tenia telefono alguno en su hogar.,71,1 (13:12:55),30,1,RGE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,4/23/20 13:08,8,201,1:33,13:20:43,13:30:54,5,"Le puse esa nota ya que explica mucha informacion relevante sobre su labor como fundacion, pero el trato no es el mas adecuado ya que usa mucho el lenguaje informal y se demora mucho tiempo en entregar la informacion.",328,7,6,3.8,1,7,6,1,7,1,6.5,6.5,,3,,1,5,13:22:36,13:24:33,13:24:48,13:27:58,13:25:01,13:25:11,13:25:15,13:25:17,13:25:21,13:25:23,13:25:31,13:25:41,,13:26:08,,13:26:16,13:26:23,,,si,le pregunto que si era venezolana en una conversacion donde no tenia porque preguntarle eso y eso puede mal interpretarse.,219,no,No nombro ninguna similitud entre el y la transeunte.,59,1 (13:20:55) | 1 (13:28:33),10,1,RGE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,4/23/20 13:29,8,332-1,1:01,13:32:11,13:52:36,0,,0,2,1.1,2,1,1,3,2,4,7,2,2,,4,,6,1,,13:46:36,13:46:41,13:46:20,13:46:15,13:46:13,13:46:50,13:46:04,13:46:01,13:45:54,13:47:42,13:47:45,,13:47:55,,13:48:00,13:48:46,,,no,"No le dijo ningun piropo, deeecho con suertele pudo decir de que se trataba.",88,no,No le dijo nada que fuese personal como para saber si tuviesen alguna similitud.,90,1 (13:45:35),4,1,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,4/23/20 14:00,8,39,0:04,13:52:36,14:23:30,1,"Cero energia, no llama la atencion de los transeuntes para nada y le falta un poco mas de empatia.",122,1,1,1.5,1.5,0,2,7,4,1,3,6,,2.1,,1.2,1,14:17:36,14:18:43,14:18:47,14:22:22,14:22:18,,14:19:12,14:19:15,14:19:18,14:19:21,14:22:04,14:19:31,,14:19:35,,14:19:46,14:19:48,,,no,no porque no logra hablar con un una persona ,73,no,No porque no logra hablar con una persona ,46,1 (13:52:44) | 2 (13:52:46) | 1 (14:17:29) | 1 (14:18:12) | 1 (14:18:37) | 1 (14:19:02),1,1,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,4/24/20 3:03,11,212,,3:25:51,3:25:54,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,0,EVA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
